DBN,Zip_Code,Lat,Lon,Private_School_Count,Planned_Housing_Units,School_Age_Pop_2019,School_Age_Pop_2020,School_Age_Pop_2021,School_Age_Pop_2022,School_Age_Pop_2023
84X579,,,,0,0.0,0,0,0,0,0
84X589,,,,0,0.0,0,0,0,0,0
84X608,,,,0,0.0,0,0,0,0,0
84X620,,,,0,0.0,0,0,0,0,0
84X730,,,,0,0.0,0,0,0,0,0
10X351,10468,40.87996,-73.889,0,0.0,21333,20905,22105,21512,20563
09X227,10457,40.83931,-73.9114,0,0.0,22636,23171,24307,23525,22466
84X398,,,,0,0.0,0,0,0,0,0
08X377,,,,0,0.0,0,0,0,0,0
08X561,10473,40.82122,-73.8559,0,0.0,15052,14306,14139,13602,12983
10X308,,,,0,0.0,0,0,0,0,0
08X392,,,,0,0.0,0,0,0,0,0
07X522,10451,40.81865,-73.9199,0,0.0,12321,12131,11998,12642,11031
09X324,10456,40.82801,-73.9177,0,0.0,25983,24695,24654,23966,24039
10X213,10463,40.87738,-73.9127,0,0.0,15209,14664,15827,15267,15362
12X511,10460,40.83625,-73.8906,0,0.0,15989,15740,15337,15700,16203
84X389,,,,0,0.0,0,0,0,0,0
11X326,,,,0,0.0,0,0,0,0,0
07X381,,,,0,0.0,0,0,0,0,0
11X249,10475,40.87404,-73.8317,0,0.0,6746,7858,7368,8562,8044
10X439,10458,40.85947,-73.8886,0,0.0,23389,23063,23286,21249,19679
09X413,10457,40.83931,-73.9114,0,0.0,22636,23171,24307,23525,22466
11X418,10462,40.85158,-73.8644,0,0.0,16088,16877,18654,18263,17730
11X253,10467,40.87517,-73.8616,0,0.0,25413,25646,26137,23339,22698
09X412,10457,40.83931,-73.9114,0,0.0,22636,23171,24307,23525,22466
09X403,10456,40.82746,-73.9039,0,0.0,25983,24695,24654,23966,24039
11X265,10467,40.87517,-73.8616,0,0.0,25413,25646,26137,23339,22698
12X267,10456,40.82693,-73.9006,0,0.0,25983,24695,24654,23966,24039
09X525,10457,40.84325,-73.903,0,0.0,22636,23171,24307,23525,22466
07X527,10451,40.82183,-73.9224,0,0.0,12321,12131,11998,12642,11031
07X625,,,,0,0.0,0,0,0,0,0
12X691,,,,0,0.0,0,0,0,0,0
11X556,,,,0,0.0,0,0,0,0,0
84X703,,,,0,0.0,0,0,0,0,0
